1,自营,诺优能（Nutrilon）,诺优能诺优蕴幼儿配方奶粉（12-36月龄 3段）800g,中国大陆,3段,
2,自营,爱他美（Aptamil）,爱他美奶粉,荷兰,1段,
3,自营,伊利,伊利奶粉,新西兰,3段,
4,自营,飞鹤（FIRMUS）,飞鹤奶粉,中国大陆,1段,
5,自营,美素佳儿（Friso）,美素佳儿婴儿奶粉,荷兰,1段,
6,自营,爱他美（Aptamil）,爱他美奶粉,荷兰,1段,
7,自营,伊利,伊利奶粉,中国,3段,
8,自营,伊利,伊利奶粉,中国大陆,1段,
9,非自营,伊利,伊利金领冠珍护婴儿配方奶粉 1段 (0-6个月婴儿适用) 900g 新升级 新奶源 金领冠珍护1段130g*1罐,中国大陆,1段,
10,自营,飞鹤（FIRMUS）,飞鹤奶粉,中国大陆,3段,
11,自营,伊利,伊利配方奶粉,中国,2段,
12,自营,雀巢（Nestle）,雀巢奶粉,中国大陆,2段,
13,自营,君乐宝（JUNLEBAO）,君乐宝奶粉,中国大陆,1段,
14,自营,伊利,伊利奶粉,中国,1段,
15,自营,爱他美（Aptamil）,爱他美奶粉,荷兰,1段,
16,自营,完达山（wondersun）,完达山元乳臻益,中国大陆,1段,
17,自营,美赞臣（Enfamil）,美赞臣奶粉,荷兰,1段,
18,自营,伊利,伊利配方奶粉,中国,1段,
19,自营,伊利,伊利奶粉,中国,3段,
20,自营,飞鹤（FIRMUS）,飞鹤奶粉,中国大陆,1段,
21,自营,惠氏（Wyeth）,惠氏奶粉,爱尔兰,2段,
22,自营,美赞臣（Enfamil）,美赞臣奶粉,荷兰,1段,
23,自营,惠氏（Wyeth）,惠氏奶粉,爱尔兰,1段,
24,自营,君乐宝（JUNLEBAO）,君乐宝奶粉,中国大陆,3段,
25,自营,伊利,伊利配方奶粉,中国大陆,3段,
26,自营,飞鹤（FIRMUS）,飞鹤奶粉,中国大陆,1段,
27,非自营,美素佳儿（Friso）,美素佳儿（Friso）皇家美素力奶粉1段 荷兰原装进口 (0-6个月婴儿适用) 1段350g*1罐,荷兰,1段,
28,自营,爱他美（Aptamil）,爱他美奶粉,荷兰,2段,
29,自营,a2,a2a2,中国大陆,1段,
30,非自营,君乐宝（JUNLEBAO）,君乐宝（JUNLEBAO）奶粉1段乐铂婴儿配方0-6个月 808克,中国大陆,1段,
31,自营,雀巢（Nestle）,雀巢无乳糖配方奶粉,荷兰,1段,
32,自营,合生元（BIOSTIME）,合生元奶粉,中国大陆,1段,
33,自营,飞鹤（FIRMUS）,飞鹤奶粉,齐齐哈尔,3段,
34,自营,飞鹤（FIRMUS）,飞鹤奶粉,中国大陆,3段,
35,自营,伊利,伊利配方奶粉,中国,1段,
36,自营,美赞臣（Enfamil）,美赞臣奶粉,荷兰,2段,
37,自营,爱他美（Aptamil）,爱他美奶粉,新西兰,3段,
38,自营,飞鹤（FIRMUS）,飞鹤奶粉,中国大陆,1段,
39,自营,飞鹤（FIRMUS）,飞鹤奶粉,中国大陆,1段,
40,自营,伊利,伊利奶粉,中国,1段,
41,自营,美素佳儿（Friso）,美素佳儿奶粉,荷兰,3段,
42,自营,贝因美（Beingmate）,贝因美配方奶粉,中国大陆,1段,
43,自营,爱他美（Aptamil）,爱他美奶粉,荷兰,3段,
44,自营,美赞臣（MeadJohnson）,美赞臣蓝臻较大婴儿配方奶粉400克2段,荷兰,2段,
45,自营,飞鹤（FIRMUS）,飞鹤奶粉,中国大陆,1段,
46,非自营,伊利,伊利金领冠珍护婴儿配方奶粉 1段 (0-6个月婴儿适用) 900g 新升级 新奶源 金领冠珍护1段280g*1罐,中国大陆,1段,
47,自营,诺优能（Nutrilon）,诺优能诺优蕴婴儿配方奶粉（0-6月龄 1段）800g,中国大陆,1段,
48,自营,伊利,伊利配方奶粉,中国,3段,
49,自营,ESSENSIS,ESSENSIS奶粉,新西兰,4段,
50,自营,爱他美（Aptamil）,爱他美奶粉,荷兰,3段,
51,自营,a2.,a2400g/罐,新西兰,2段,
52,非自营,伊利,伊利新国标金领冠育护3段基础版三联盒装1200克婴幼儿配方奶粉1-3岁 育护3段一盒（23年10月产） 1200克,中国大陆,3段,
53,自营,海普诺凯1897,海普诺凯1897荷致,荷兰,1段,
54,非自营,飞鹤（FIRMUS）,飞鹤（FIRMUS）【五年奶粉第1】星飞帆卓睿 幼儿配方奶粉 乳铁蛋白 1段300g/罐【新客专享】,中国大陆,1段,
55,自营,爱他美（Aptamil）,爱他美奶粉,新西兰,3段,
56,自营,伊利,伊利配方奶粉,中国,1段,
57,非自营,爱他美（Aptamil）,【J仓发货】 爱他美Pepti Junior深度水解奶粉 金装1段纽太特无乳糖奶粉净含量450g/罐 3罐 保质期25年2月,中国,1段,
58,自营,惠氏（Wyeth）,惠氏奶粉,瑞士,2段,
59,自营,爱他美（Aptamil）,爱他美奶粉,德国,3段,
60,自营,海普诺凯1897,海普诺凯1897荷致,荷兰,3段,
61,自营,雀巢（Nestle）,雀巢SUPREME,德国,3段,
62,自营,飞鹤（FIRMUS）,飞鹤奶粉,中国大陆,2段,
63,自营,爱他美,爱他美卓傲1段,荷兰,1段,
64,自营,飞鹤（FIRMUS）,飞鹤奶粉,中国大陆,1段,
65,自营,伊利,伊利配方奶粉,中国大陆,1段,
66,自营,惠氏（Wyeth）,惠氏奶粉,瑞士,3段,
67,自营,ESSENSIS,ESSENSIS奶粉,荷兰,3段,
68,自营,合生元（BIOSTIME）,合生元奶粉,中国大陆,2段,
69,自营,伊利,伊利奶粉,中国,2段,
70,非自营,伊利,伊利奶粉 金领冠 新奶源 悠滋小羊1段 婴儿配方羊奶粉 小羊1段130g,中国,1段,
71,非自营,飞鹤（FIRMUS）,飞鹤【新客专享130g】星飞帆婴幼儿配方奶粉 1段【复购大罐返全款】,中国大陆,1段,
72,自营,君乐宝（JUNLEBAO）,君乐宝奶粉,中国大陆,2段,
73,非自营,伊利,伊利奶粉 金领冠珍护菁赐幼儿配方奶粉3段奶粉（1-3岁适用）750g 珍护 菁赐3段750g*2罐,中国大陆,3段,
74,自营,美素佳儿（Friso）,美素佳儿奶粉,荷兰,1段,
75,非自营,a2,a2新西兰原装进口紫白金婴幼儿配方奶粉含天然A2蛋白 1段(0-6月)新生儿 900g 1罐,新西兰,1段,
76,自营,伊利,伊利配方奶粉,中国,3段,
77,非自营,佳贝艾特（Kabrita）,佳贝艾特（Kabrita）婴儿羊奶粉 2段（6-12月）悦白 悦白150g 荷兰原装进口,荷兰,2段,
78,自营,爱他美（Aptamil）,爱他美奶粉,新西兰,3段,
79,自营,爱他美（Aptamil）,爱他美奶粉,新西兰,3段,
80,自营,诺优能（Nutrilon）,诺优能诺优能PRO 幼儿配方奶粉（12—36月龄，3段）800g,荷兰,3段,
81,自营,美赞臣（Enfamil）,美赞臣奶粉,荷兰,3段,
82,自营,伊利,伊利奶粉,天津,1段,
83,自营,雀巢（Nestle）,雀巢奶粉,德国,1段,
84,非自营,佳贝艾特（Kabrita）,佳贝艾特（Kabrita）悦白3-150g,荷兰,3段,
85,自营,贝拉米（Bellamy）,贝拉米3段有机奶粉,澳大利亚,3段,
86,自营,a2.,a2900g,新西兰,1段,
87,非自营,飞鹤（FIRMUS）,飞鹤（FIRMUS）【五年奶粉第1】星飞帆卓睿A2 β-酪蛋白 1段听装260g\罐 【新客专享】,新西兰,1段,
88,自营,爱他美（Aptamil）,爱他美奶粉,新西兰,2段,
89,非自营,君乐宝（JUNLEBAO）,君乐宝（JUNLEBAO）奶粉试用装婴幼儿牛奶粉 乐铂3段试用装170g,新西兰,3段,
90,非自营,爱他美（Aptamil）,爱他美（Aptamil）【J仓发货】欧洲原装进口德国白金版婴儿配方奶粉德白1+、2+段 德国爱他美白金版1+段3罐 800g,德国,1+段,
8,自营,伊利,伊利奶粉,中国大陆,1段,
